Date,Outfall Location,CSO_ID,TotalMinutes_combined,Volume_combined,Discharge Latitude,Discharge Longitude,Treated?,notes
05-21-2023,Alewife Brook Reservation near Alewife T station,MWR003,37,0.03,42.397102,-71.144062,NA,NA
05-21-2023,Between Magazine Park and BU Bridge,MWR201,38,1.79,NA,NA,NA,NA
05-21-2023,"Upper Inner Harbor, upstream of N. Washington St. bridge",MWR203,224,19.07,NA,NA,NA,NA
05-28-2021,"Baxter Park/Assembly Row, just downstream of Rte. 28 Bridge",SOM007A/ MWR205A,285,5.46,NA,NA,NA,NA
05-28-2021,Draw Seven Park,MWR205,490,11.18,NA,NA,NA,NA
05-28-2022,Draw Seven Park,MWR205,20,0.14,NA,NA,NA,NA
05-29-2021,"Upper Inner Harbor, upstream of N. Washington St. bridge",MWR203,423,28.09,NA,NA,NA,NA
06-02-2023,Draw Seven Park,MWR205,19,0.02,NA,NA,NA,NA
06-05-2020,Draw Seven Park,MWR205,45,0.78,NA,NA,NA,NA
06-09-2022,Draw Seven Park,MWR205,124,1.03,NA,NA,NA,NA
06-10-2023,"Baxter Park/Assembly Row, just downstream of Rte. 28 Bridge",SOM007A/ MWR205A,10,0.03,NA,NA,NA,NA
06-10-2023,Draw Seven Park,MWR205,99,0.14,NA,NA,NA,NA
06-11-2020,Draw Seven Park,MWR205,202,2.5,NA,NA,NA,NA
06-12-2023,Draw Seven Park,MWR205,18,0.01,NA,NA,NA,NA
06-14-2023,"Baxter Park/Assembly Row, just downstream of Rte. 28 Bridge",SOM007A/ MWR205A,50,0.26,NA,NA,NA,NA
06-14-2023,Draw Seven Park,MWR205,121,0.84,NA,NA,NA,NA
06-17-2023,Draw Seven Park,MWR205,45,1.64,NA,NA,NA,NA
06-22-2021,"Boston side of river, near Fenway exit from Storrow Drive",MWR023,15,0.12,42.351704,-71.092425,NA,NA
06-22-2021,Downstream end of Charles R. Esplanade,MWR020,45,0.16,42.356744,-71.076136,NA,NA
06-22-2021,Draw Seven Park,MWR205,97,4.67,NA,NA,NA,NA
06-22-2021,Middle of Charles R. Esplanade,MWR019,45,0.18,42.355018,-71.080919,NA,NA
06-22-2021,"Upper Inner Harbor, upstream of N. Washington St. bridge",MWR203,235,17.65,NA,NA,NA,NA
06-22-2021,Upstream end of Charles R. Esplanade,MWR018,55,0.46,42.352763,-71.087414,NA,NA
06-27-2022,Draw Seven Park,MWR205,82,2.43,NA,NA,NA,NA
06-27-2022,"Upper Inner Harbor, upstream of N. Washington St. bridge",MWR203,78,3.1,NA,NA,NA,NA
06-28-2020,Between Magazine Park and BU Bridge,MWR201,80,4.03,NA,NA,NA,NA
06-28-2020,Draw Seven Park,MWR205,171,2.1,NA,NA,NA,NA
06-28-2020,"Upper Inner Harbor, upstream of N. Washington St. bridge",MWR203,236,13.16,NA,NA,NA,NA
06-29-2020,"Baxter Park/Assembly Row, just downstream of Rte. 28 Bridge",SOM007A/ MWR205A,24,0.1,NA,NA,NA,NA
06-29-2020,Draw Seven Park,MWR205,82,3.94,NA,NA,NA,NA
06-29-2020,"Upper Inner Harbor, upstream of N. Washington St. bridge",MWR203,120,5.47,NA,NA,NA,NA
07-01-2021,Draw Seven Park,MWR205,690,21.18,NA,NA,NA,NA
07-01-2021,"Upper Inner Harbor, upstream of N. Washington St. bridge",MWR203,520,58.45,NA,NA,NA,NA
07-02-2021,Alewife Brook Reservation near Alewife T station,MWR003,75,3.02,42.397102,-71.144062,NA,NA
07-02-2021,"Baxter Park/Assembly Row, just downstream of Rte. 28 Bridge",SOM007A/ MWR205A,185,5.25,NA,NA,NA,NA
07-02-2021,Between Magazine Park and BU Bridge,MWR201,239,13.76,NA,NA,NA,NA
07-02-2021,"Boston side of river, near Fenway exit from Storrow Drive",MWR023,86,0.91,42.351704,-71.092425,NA,NA
