Date,Outfall Location,CSO_ID,TotalMinutes_combined,Volume_combined,Discharge Latitude,Discharge Longitude,Treated?,notes
6-24-2018,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,181,3.3,NA,NA,NA,NA
6-25-2018,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,40,0.42,NA,NA,NA,NA
6-25-2018,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,34,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
6-27-2017,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,67,0.55,NA,NA,NA,NA
6-28-2018,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,200,13.38,NA,NA,NA,NA
6-28-2018,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,140,2.96,NA,NA,NA,NA
6-28-2018,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,196,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
6-28-2020,MWR201: Cottage Farm CSO Storage and Treatment Facility Outfall,MWR201,80,4.03,NA,NA,NA,NA
6-28-2020,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,236,13.16,NA,NA,NA,NA
6-28-2020,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,171,2.1,NA,NA,NA,NA
6-28-2020,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,23,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
6-28-2020,MWR215: Union Park CSO Storage and Treatment Facility Outfall,MWR215,127,0.44,NA,NA,NA,NA
6-29-2016,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,104,2.54,NA,NA,NA,NA
6-29-2016,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,122,0.7,NA,NA,NA,NA
6-29-2016,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,43,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
6-29-2019,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,160,9.53,NA,NA,NA,NA
6-29-2019,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,146,4.06,NA,NA,NA,NA
6-29-2019,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,34,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
6-29-2020,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,120,5.47,NA,NA,NA,NA
6-29-2020,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,82,3.94,NA,NA,NA,NA
6-29-2020,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,24,0.097,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
6-30-2019,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,94,4.72,NA,NA,NA,NA
6-30-2019,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,93,1.67,NA,NA,NA,NA
7-01-2016,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,78,0.99,NA,NA,NA,NA
7-06-2018,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,64,1,NA,NA,NA,NA
7-06-2019,MWR201: Cottage Farm CSO Storage and Treatment Facility Outfall,MWR201,69,2.29,NA,NA,NA,NA
7-06-2019,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,222,19.09,NA,NA,NA,NA
7-06-2019,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,218,5.77,NA,NA,NA,NA
7-06-2019,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,36,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
7-06-2019,MWR215: Union Park CSO Storage and Treatment Facility Outfall,MWR215,105,1.4,NA,NA,NA,NA
7-12-2017,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,162,11.65,NA,NA,NA,NA
7-12-2017,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,158,5.47,NA,NA,NA,NA
7-12-2017,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,20,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
7-12-2019,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,67,0.77,NA,NA,NA,NA
7-14-2020,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,76,0.48,NA,NA,NA,NA
7-17-2018,BOS019: Little Mystic Channel CSO Storage Facility,BOS019,29,-999,42.379753,-71.051689,NA,NA
7-17-2018,MWR201: Cottage Farm CSO Storage and Treatment Facility Outfall,MWR201,140,11.19,NA,NA,NA,NA
7-17-2018,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,345,29.46,NA,NA,NA,NA
7-17-2018,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,360,9.04,NA,NA,NA,NA
7-17-2018,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,123,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
7-17-2018,MWR215: Union Park CSO Storage and Treatment Facility Outfall,MWR215,238,8.94,NA,NA,NA,NA
7-17-2019,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,103,5.52,NA,NA,NA,NA
7-17-2019,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,97,2.69,NA,NA,NA,NA
